detector_slug,dataset,precision,recall,f1,threshold,wall_time_s,dqt_version,timestamp
stddev_in_range,stddev_value,1.0,1.0,1.0,0.0,0.0068,1.0.0,2026-05-14T11:52:19.371773
stl_residual_zscore,synthetic_sinusoidal_shift,0.5,1.0,0.6667,0.0,0.5058,1.0.0,2026-05-14T11:52:20.051361
string_case_violation,case_compliance,1.0,1.0,1.0,0.0,0.0035,1.0.0,2026-05-14T11:52:20.055354
string_length_range,string_length,1.0,1.0,1.0,0.0,0.0032,1.0.0,2026-05-14T11:52:20.059341
sum_in_range,sum_value,1.0,1.0,1.0,0.0,0.0036,1.0.0,2026-05-14T11:52:20.063248
uniqueness,unique_rate,1.0,1.0,1.0,0.0,0.0041,1.0.0,2026-05-14T11:52:20.067858
validity,validity_rate,1.0,1.0,1.0,0.0,0.0032,1.0.0,2026-05-14T11:52:20.071216
value_in_range,value_range,1.0,1.0,1.0,0.0,0.0032,1.0.0,2026-05-14T11:52:20.074210
volume,row_count,1.0,1.0,1.0,0.0,0.0029,1.0.0,2026-05-14T11:52:20.077335
wasserstein_1,synthetic_normal_vs_shifted,1.0,1.0,1.0,0.0,0.0078,1.0.0,2026-05-14T11:52:20.087921
zscore_outlier_fraction,synthetic_normal,0.9091,1.0,0.9524,0.0,0.003,1.0.0,2026-05-14T11:52:20.093582
